price,beds,baths,living space,city,state,zip code population,median household income,property_per_100_000,violence_per_100_000,affordability
1098000.0,3.0,3.0,1594.0,Brooklyn,New York,72938.0,122020.0,1440.5,350.5,False
425000.0,2.0,1.0,1008.0,Brooklyn,New York,65854.0,114070.0,1440.5,350.5,True
689000.0,3.0,4.0,1284.0,Brooklyn,New York,65854.0,114070.0,1440.5,350.5,False
1189000.0,6.0,4.0,1933.0,Brooklyn,New York,65854.0,114070.0,1440.5,350.5,False
299900.0,2.0,1.0,800.0,Brooklyn,New York,65925.0,141026.0,1440.5,350.5,True
695000.0,7.0,4.0,3750.0,Brooklyn,New York,78296.0,53831.0,1440.5,350.5,False
1068888.0,5.0,4.0,1802.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,False
928000.0,3.0,2.0,1376.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,False
2750.0,3.0,2.0,1210.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,True
355000.0,1.0,1.0,473.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,True
298000.0,1.0,1.0,750.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,True
2500.0,3.0,1.0,3000.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,True
298000.0,1.0,1.0,750.0,Brooklyn,New York,95361.0,89337.0,1440.5,350.5,True
650000.0,2.0,2.0,889.0,Brooklyn,New York,93119.0,77462.0,1440.5,350.5,False
558000.0,1.0,1.0,602.0,Brooklyn,New York,93119.0,77462.0,1440.5,350.5,False
1200000.0,5.0,4.0,2080.0,Brooklyn,New York,93119.0,77462.0,1440.5,350.5,False
758000.0,2.0,1.0,811.0,Brooklyn,New York,93119.0,77462.0,1440.5,350.5,False
738000.0,3.0,2.0,890.0,Brooklyn,New York,93119.0,77462.0,1440.5,350.5,False
3700.0,2.0,2.0,1200.0,Brooklyn,New York,89728.0,104627.0,1440.5,350.5,True
550000.0,1.0,1.0,737.0,Brooklyn,New York,83565.0,94988.0,1440.5,350.5,False
675000.0,2.0,2.0,1029.0,Brooklyn,New York,83565.0,94988.0,1440.5,350.5,False
